,moveName,plnCmd,numCmd,startup,active,recovery,total,onHit,onPC,onBlock,DRoH,DRoB,onPP,SSoH,SSoB,dmg,hcWinSpCa,hitstun,blockstun,DDoH,DDoB,DGain,SelfSoH,SelfSoB,OppSoH,OppSoB,atkLvl,xx,extraInfo,moveType,moveMotion,moveButton,i,airmove,hcWinTc,cmnName,nonHittingMove,movesList,hitstop,followUp,chp,projectile,chargeDirection
Stand LP,Stand LP,LP,5LP,4,3,7,13,5,9,-3,4(5),-4(-3),-8(-6),-1(0),-8(-9),300,13,15,7,2000,500,250,300,150,210,75,H,"['ch', 'ss', 'sp', 'su']","['Chains into stand LP / crouch LP / crouch LK', 'Combos naturally into stand MP', 'Incurs 10% damage scaling penalty if used as the first hit of a combo', 'Long range for a jab']",normal,N,LP,1,,,,,,,,,,
Stand MP,Stand MP,MP,5MP,5,4,10,18,6,10,1,8(10),3(5),-12(-9),3(5),-1(1),600,16,20,15,4000,3000,1500,600,300,420,150,H,"['ss', 'sp', 'su']",['Short range combo / frametrap tool'],normal,N,MP,2,,,,,,,,,,
Stand HP,Stand HP,HP,5HP,13,3,20,35,2,6,-4,,,-21(-19),6(-4),0(-10),800,19 (Stance),25,19,8000,6000,3000,800,400,560,200,H,['ss'],"['Great neutral / whiff punish tool', ""Cancelable into Serenity Stream (Crouch Stance) and can perform stance follow-ups after 16F (much worse frame advantage noted in parantheses if you don't immediately do a follow-up from the stance)""]",normal,N,HP,3,,,,,,,,,,
Stand LK,Stand LK,LK,5LK,5,3,10,17,2,6,-2,4,0,-11(-9),0,-3,300,13,15,11,2000,500,250,300,150,210,75,H,"['ss', 'sp', 'su']","['Decent range combo tool', 'Incurs 10% damage scaling penalty if used as the first hit of a combo']",normal,N,LK,4,,,,,,,,,,
Stand MK,Stand MK,MK,5MK,7,4,16,26,4,8,-2,14,8,-18(-15),9,4,500,16,24,18,4000,3000,1500,700,350,490,175,H,"['ss', 'sp', 'su']","['Cannot hit crouching', 'Solid anti-air', 'Cannot hit cross-up (behind Chun-Li)']",normal,N,MK,5,,,,,,,,,,
Stand HK,Stand HK,HK,5HK,14,3,18,34,4,8,0,,,-19(-17),10(-3),6(-7),900,18 (Stance),25,21,10000,6000,3000,1000,500,700,250,H,['ss'],"['Cannot hit crouching', 'Mid range horizontal anti-air', 'Extended leg and head hurtbox are invincible to airborne strikes on frames 14-16', 'Cannot hit cross-up (behind Chun-Li)', 'Puts airborne opponents into a limited juggle state', ""Cancelable into Serenity Stream (Crouch Stance) with 12F start-up (much worse frame advantage noted in parantheses if you don't immediately do a follow-up from the stance)""]",normal,N,HK,6,,,,,,,,,,
Crouch LP,Crouch LP,d+LP,2LP,4,3,7,13,4,8,-2,4,-2,-8(-6),-1,-6,300,13,14,8,2000,500,250,300,150,210,75,H,"['ch', 'ss', 'sp', 'su']","['Chains into stand LP / crouch LP / crouch LK', 'Incurs 10% damage scaling penalty if used as the first hit of a combo']",normal,D,LP,7,,,,,,,,,,
Crouch MP,Crouch MP,d+MP,2MP,6,4,13,22,4,8,-2,11,5,-15(-12),6,1,600,16,21,15,4000,3000,1500,600,300,420,150,H,"['ss', 'sp', 'su']","['Decent range and disjointed for a poke', 'Additional projectile invincible hurtbox above Chun on frames 1-9 to prevent use as an AA']",normal,D,MP,8,,,,,,,,,,
Crouch HP,Crouch HP,d+HP,2HP,11,3(5)5,18,41,1,5,-3,14,10,-21(-17),8(-6),4(-10),900 (450*450),29 (30 Stance),32 total,28 total,8000 (4000*4000),5000 (2500*2500),2000 (1000*1000),1000 (600*400),500 (300*200),700 (420*280),250 (150*100),H,"['ss', 'sp', 'su']","['Forces stand', 'Only cancelable on the second hit', 'Solid anti-air on frames 12-13 and again on frames 21-23', 'Cannot hit cross-up (behind Chun-Li)', 'Carries over Counter-Hit / Punish Counter bonus frame advantage to both hits', 'First hit puts airborne opponents into a limited juggle state (second hit air resets them, but can whiff in certain scenarios)', ""Cancelable into Serenity Stream (Crouch Stance) with 11F start-up (much worse frame advantage noted in parantheses if you don't immediately do a follow-up from the stance)""]",normal,D,HP,9,,,,,,,,,,
Crouch LK,Crouch LK,d+LK,2LK,4,2,10,15,0,4,-2,2,0,-10(-8),-3,-4,200,12,12,10,2000,500,250,300,150,210,75,L,"['ch', 'ss', 'sp', 'su']","['Special cancelable (unlike most other crouch LKs)', 'Chains into stand LP / crouch LP / crouch LK', 'Incurs 10% damage scaling penalty if used as the first hit of a combo']",normal,D,LK,10,,,,,,,,,,
Crouch MK,Crouch MK,d+MK,2MK,7,3,19,28,-2,2,-6,8,4,-20(-18,5,2,500,13,20,16,4000,2000,1000,500,250,350,125,L,"['ss', 'sp', 'su']","['Good start-up and range low poke and combo tool', 'Incurs a 20% damage scaling penalty if used as the first hit of a combo']",normal,D,MK,11,,,,,,,,,,
Crouch HK,Crouch HK,d+HK,2HK,9,6,19,33,HKD +33,HKD +48,-7,,,-23(-18),HKD ~ (notes),-11(-21),900,29 (Stance),,18,10000,4000,3000,1000,500,700,250,L,['ss'],"[""Cancelable into Serenity Stream (Crouch Stance) with 23F start-up (much worse frame advantage noted in parantheses if you don't immediately do a follow-up from the stance)"", ""Knockdown advantage when canceling into Serenity Stream (Crouch Stance) depends on what Chun-Li does afterwards: Remain in Crouch Stance: +29 HKD | Exiting stance manually early (inputting QCB+P again): +6 HKD (+10 HKD if you cancel the stance exit early into other moves) | -15 HKD (punishable) if Chun-Li doesn't remain in Crouch Stance or exit it manually early (inputting QCB+P again)"", 'Safer on block and more active frames than most sweeps', 'Not a Hard Knockdown (HKD) when juggled into']",normal,D,HK,12,,,,,,,,,,
Jump LP,Jump LP,u+LP,8LP,4,10,,,,,,,,,,,300,,13,10,2000,1500,500,300,150,210,75,M,,,normal,U,LP,13,True,,,,,,,,,
Jump MP,Jump MP,u+MP,8MP,7,4(6)5,,,~ (KD),~ (KD),,,,,,,600 (300*300),24*16 (34 total),15*17,13*13,2000*2000,1250,1000 (500*500),500 (250*250),125,350 (175*175),62,M,"['sp', 'su1']","['Both hits put airborne opponents into a juggle state', 'Cancelable into Air Legs or Level 1 air Super']",normal,U,MP,14,True,,,,,,,,,
Jump HP,Jump HP,u+HP,8HP,9,6,,,~ (KD),~ (KD),,,,,,,800(500),,20,15,5000,4000,2000,1000,500,700,250,M,['tc'],"['Puts airborne opponents into a juggle state', 'Deals 300 less damage (500) against airborne opponents)']",normal,U,HP,15,True,22,,,,,,,,
Jump LK,Jump LK,u+LK,8LK,4,8,,,,,,,,,,,300,,13,10,2000,1500,500,300,150,210,75,M,,,normal,U,LK,16,True,,,,,,,,,
Jump MK,Jump MK,u+MK,8MK,6,5,,,,,,,,,,,500,,17,13,4000,2500,1000,500,250,350,125,M,,"['Cross-up', 'Decent air-to-air']",normal,U,MK,17,True,,,,,,,,,
Jump HK,Jump HK,u+HK,7 or 9HK,8,5,,,,,,,,,,,800,,20,15,5000,4000,2000,1000,500,700,250,M,,,normal,U,HK,18,True,,,,,,,,,
Neutral Jump HK,Neutral Jump HK,u+HK,8HK,8,7,,,,,,,,,,,800,,20,15,5000,4000,2000,1000,500,700,250,M,,"['Hits on both sides of Chun-Li', 'Decent air-to-air']",normal,U,HK,19,True,,Air Split Kicks,,,,,,,
Wall Jump,Wall Jump,uf during jump near wall,9 during jump near wall,,,,,,,,,,,,,,,,,,,,,,,,,,"['Forced Knockdown and Counter-Hit state for the entire duration of the jump', 'Can be performed after any jump direction as long as the wall is in range']",movement-special,UF,,,True,,Wall Jump,True,Movement,,,,,
Yoso Kick,Yoso Kick,d+MK during jump,2MK (air),3+6+6,11,,,~ (KD),~ (KD),,,,-35(-26),,,1100 (300x2*400),13*13*13,17*17*17,10*10*17,4000,1500x3 (4500),1000x3 (3000),1500 (500x3),750 (250x3),1050 (350x3),375 (125x3),H,"['sp', 'su', 'tc']","['Not an Overhead', 'All 3 hits can cross-up', 'Puts airborne opponents into a juggle state', 'Cancelable into airborne Lighting Kicks and Level 1 Super', 'Can be canceled into other air normals as well', 'First stomp incurs a 15% damage scaling when hit as the start of a combo']",normal,D,MK,20,True,,Air Stomps,,Command Normal,12*12*12,,,,
Soaring Eagle Punches,Soaring Eagle Punches,j+HP > j+HP,8HP > 8HP,9+16,4,,,~ (KD),~ (KD),,,,,,,1300 (800*500),,24,19,5000,9000 (4000*5000),4000 (2000*2000),2000 (1000*1000),1000 (500*500),1400 (700*700),500 (250*250),M,,"['Puts airborne opponents into a juggle state', 'Target combo can be performed on whiff']",normal,N,HP,21,True,,Air Target Combo,,Target Combo,,,,,
Swift Thrust,Swift Thrust,b or f+MP,4 or 6MP,7,3,15,24,2,6,-3,6,1,-16(-14),5,1,600,17,20,15,4000,3000,1500,500,250,350,125,H,"['ss', 'sp', 'su']",['Fantastic poke / combo / buffer tool with a hit confirmable 17F cancel window'],normal,BorF,MP,22,,,b or f+MP,,Command Normal,,,,,
Hakkei,Hakkei,b+HP,4HP,8,6,14,27,5,9,-1,15,9,-18(-14),9(-5),3(-11),800,19 (20 Stance),25,19,10000,5000,2000,1000,500,700,250,H,"['ss', 'sp', 'su']","['Short range combo / frametrap tool', ""Cancelable into Serenity Stream (Crouch Stance) with 11F start-up (much worse frame advantage noted in parantheses if you don't immediately do a follow-up from the stance)""]",normal,B,HP,23,,,Palm Strike (EY!),,Command Normal,,,,,
Water Lotus Fist,Water Lotus Fist,df+HP,3HP,21,4,14,38,1,5,-2,,,-16(-13),2(-6),-1(-9),800,18 (Stance),19,16,5000,5000,2000,1000,500,700,250,M,['ss'],"['Overhead', ""Cancelable into Serenity Stream (Crouch Stance) with 16F start-up (much worse frame advantage noted in parantheses if you don't immediately do a follow-up from the stance)""]",normal,DF,HP,24,,,Overhead,,Command Normal,,,,,
Yokusen Kick,Yokusen Kick,f+HK,6HK,16,2,23,40,-1,KD +72,-4,,,-23(-22),2(-6),-1(-9),800,20 (Stance),24,21,10000,5000,2000,1000,500,700,250,H,['ss'],"['Airborne on frames 8-28 (Forced Knockdown state)', 'Causes a Crumple state on Punish Counter, which can lead to a grounded follow-up if canceled into Serenity Stream (Crouch Stance)', 'Causes a spinning free juggle state on Punish Counter against airborne opponents', 'Huge hitbox priority', ""Cancelable into Serenity Stream (Crouch Stance) with 20F start-up (much worse frame advantage noted in parantheses if you don't immediately do a follow-up from the stance)""]",normal,F,HK,25,,,f+HK,,Command Normal,,,,,
Falling Crane,Falling Crane,df+HK,3HK,37,2,13,51,7(8),11(12),3(4),,,-13(-12),,,800,,22,20,10000,5000,2000,1000,500,700,250,M,,"['Overhead', 'Airborne on frames 7-39 (Forced Knockdown state)', 'Can only hit cross-up (Chun-Li has to jump over the the opponent)', 'Puts airborne opponents into a limited juggle state on hit', '1F better frame advantage listed in the parentheses refers to when hitting most crouching opponents (with the exception of taller characters like: DJ, JP, Marisa, Zangief)']",normal,DF,HK,26,True,,Flip Over,,Command Normal,,,,,
Serenity Stream,Serenity Stream,qcb+P,214P,14(~),,notes,,,,,,,,,,,,,,,,,,,,,,,"['Stance moves do not require charge for specials when canceling', 'Remains in stance for as long as you hold any down direction', 'Can block while in stance (but not while exiting the stance!) which causes Chun-Li to exit stance automatically (Chun-Li can immediately Drive Reversal after blocking while in stance)', 'If Chun extends her Stance time by holding down it becomes impossible for her to block Overheads (since standing forces her to exit Stance first)', 'Low profiles and projectile invincible on head hurtbox on frames 23-71 (this can be extended by holding down to maintain stance, but the low profile and projectile invincibility is lost immediately upon exiting stance)', 'Chun-Li is in a Counter-Hit state while in stance (and also while entering / exiting stance)', 'Crouching state while in stance (crouching state starts at frame 14 of start-up and remains crouching until the last 14F recovery when exiting stance)', 'The 14F start-up listed refers to how long it takes for Chun-Li to enter Crouch Stance when performed raw or when canceled into from Light / Medium normals (however Chun-Li can start blocking 1F earlier after just 13F of start-up)', 'How long it takes to enter Crouch Stance also further varies depending on which Heavy normal was canceled from (see notes on said Heavy normals)', 'Heavy normals canceled into Crouch Stance have much more negative frame advantage if they are not immediately followed up with a stance normal (this is shown in the stance cancel framedata of each respective Heavy normal)', 'How long it takes to exit Crouch Stance depends on which move Chun-Li used from the stance (see notes on the follow-up moves)', 'Can also manually cancel the Crouch Stance early by doing the QCB+P input again (before inputting any follow-up): 23F recovery (but this recovery can be canceled into other moves after only 18F)', 'Letting go of any down direction and exiting stance: 18F recovery', 'The most convoluted move Hatson has ever had to do framedata and notes for']",special,QCB,1P,27,,,Crouch Stance,True,,,,,,
Orchid Palm,Orchid Palm,qcb+P > LP,214P > LP,5,5,16(36),25(45),-2(-22),2(-18),-3(-23),6,5,-16(-39),,,500,15,19,18,2000,1500,500,300,150,210,75,H,"['sp', 'su']","['Low profiles slightly on frames 1-25 (the entire duration of the move)', 'Remains in Crouch Stance', 'Framedata listed in parentheses (X) is if you exit stance (stop holding down) after performing the move (it is recommended that you either remain in Crouch Stance (hold any down direction) or cancel this move into something (your cancels require no charge while in Crouch Stance)', 'Takes 20F to exit stance after using this move', 'Stance moves do not require charge for specials when canceling']",normal,N,LP,28,,,Stance > Jab,,Stance Attack,,True,,,
Snake Strike,Snake Strike,qcb+P > MP,214P > MP,11,7,19(32),36(49),KD +38(+25),KD +38(+25),-10(-23),,,-24(-37),,,750,,,16,4000,3000,500,300,150,210,75,L,,"['Low hitting slide', 'Projectile invincible on upper body / Low Profile on frames 1-36 (the entire duration of the move) - but only frames 1-31 if you exit stance afterwards', 'Low profiles on frames 8-21', 'Remains in Crouch Stance', 'Framedata and KDA listed in parentheses (X) is if you exit stance (stop holding down) after performing the move (it is recommended that you remain in Crouch Stance by holding any down direction)', 'Takes 18F to exit stance after using this move']",normal,N,MP,29,,,Stance >  Slide,,Stance Attack,,True,,,
Lotus Fist,Lotus Fist,qcb+P > HP,214P > HP,23,2(6)2,19,51,2,6,-3,13,8,-19,,,900 (400*500),27,31 total,26 total,6000 (3000*3000),5000 (2500*2500),2000 (1000*1000),600 (300*300),300 (150*150),420 (210*210),150 (75*75),M*H,"['sp', 'su']","['Overhead on first hit only, unless the first hit whiffs, then the second hit is an Overhead as well (but if the first hit connects, then the second hit can be blocked high or low)', 'Low profiles on frames 1-2 (can be used to frame perfect dodge Drive Impacts)', 'No head hurtbox on frames 29-42', 'Crouch state on first 5F of start-up', 'Exits Crouch Stance', 'Fully cancelable (rare property for an Overhead)', 'Stance moves do not require charge for specials when canceling']",normal,N,HP,30,,,Stance > Overhead,,Stance Attack,,True,,,
Forward Strike,Forward Strike,qcb+P > LK,214P > LK,8,5,13(36),25(48),0(-23),4(-19),-4(-27),8,4,-16(-39),,,500,15,18,14,2000,1500,500,300,150,210,75,L,"['sp', 'su']","['Remains in Crouch Stance', 'Framedata listed in parentheses (X) is if you exit stance (stop holding down) after performing the move (it is recommended that you either remain in Crouch Stance (hold any down direction) or cancel this move into something (your cancels require no charge while in Crouch Stance)', 'Takes 23F to exit stance after using this move', 'Stance moves do not require charge for specials when canceling']",normal,N,LK,31,,,Stance > Low Poke,,Stance Attack,,True,,,
Senpu Kick,Senpu Kick,qcb+P > MK,214P > MK,10,5,22(46),36(60),-5(-29),-1(-25),-9(-33),9,5,-25(-49),,,800,18,22,18,4000,3000,2000,1000,500,700,250,L,"['sp', 'su']","['Remains in Crouch Stance', 'Framedata listed in parentheses (X) is if you exit stance (stop holding down) after performing the move (it is recommended that you either remain in Crouch Stance (hold any down direction) or cancel this move into something (your cancels require no charge while in Crouch Stance)', 'Takes 24F to exit stance after using this move', 'Puts airborne opponents into a limited juggle state', 'Stance moves do not require charge for specials when canceling']",normal,N,MK,32,,,Stance > Sweep,,Stance Attack,,True,,,
Tenku Kick,Tenku Kick,qcb+P > HK,214P > HK,8,5,24,36,KD +41,KD +41,-9,,,-27(-23),,,700,30 (Jump),,20,10000,5000,2000,300,150,210,75,H,['j'],"['Jump cancelable on HIT only', 'Exits Crouch Stance', 'Crouching state during first 6F of start-up', 'Launches the opponent high into the air on hit']",normal,N,HK,33,,,Stance > Launcher,,Stance Attack,,True,,,
Koshuto,Koshuto,LP+LK,LPLK,5,3,23,30,KD +11,HKD +11,,,,,,,1200(2040),,,,(10000),,2000,2000(4000),,1400(2800),,T,,"['Pseudo-Throw Loop: Frame-perfect walk forward throw beats 6F attacks on wake-up (corner only)', 'Gets +70% damage increase (2040 damage), HKD (denies back-roll option on wake-up), and depletes 1 bar of Drive Gauge on a Punish Counter']",throw,N,LPLK,34,,,Throw,,Normal Throw,,,,,
Taiji Fan,Taiji Fan,b+LP+LK,4LPLK,5,3,23,30,KD +13,HKD +13,,,,,,,1200(2040),,,,(10000),,2000,2000(4000),,1400(2800),,T,,"['Back Throw oki when cornered: Yes (+13 KD and up close)', 'Gets +70% damage increase (2040 damage), HKD (denies back-roll option on wake-up), and depletes 1 bar of Drive Gauge on a Punish Counter']",throw,B,LPLK,35,,,Back Throw,,Normal Throw,,,,,
Ryuseiraku,Ryuseiraku,LP+LK (air),LPLK (air),5,3,,,KD +10,HKD +10,,,,,,,1200(2040),,,,(10000),,2000,2000(4000),,1400(2800),,T,,"['Gets +70% damage increase (2040 damage), HKD (denies back-roll option on wake-up), and depletes 1 bar of Drive Gauge on a Punish Counter', 'The return of SFV Cammy air throw animation']",throw,N,LPLK,36,True,,Air Throw,,Normal Throw,,,,,
Drive Impact,Drive Impact,HP+HK,HPHK,26,2,35,62,KD (notes),Crumple +104,-3,,,-35,,,800,,,34,10000(15000),5000,-10000,(3000),,,,H,,"['2 hits of armor on frames 1-25', 'Damages opponents Drive Gauge on Block (1/2 bar) | Hit (1 bar) | Counter-Hit (1.25 bar) | Punish Counter (1.5 bar)', 'Knocks down on hit', 'Crumples on Punish Counter or after absorbing at least 1 attack during start-up (+21 frames before the crumple state goes airborne, followed by airborne state on frames 22-46 before they are grounded) which counts as 2 hits of damage scaling', 'If the armor absorbs an attack it slows the overall start-up by 1F (27F total instead of 26F)', 'Pushes the opponent far back on hit or block and causes a wall splat if they hit the wall', 'Wall Splat on block adds 20% damage penalty on the next hit', 'Wall splats on hit or during Burnout counts as 2 hits of damage scaling', ""Wall Splat puts opponent into a special juggle state where the next move juggles them even if it doesn't normally (similar juggle rules as from Drive Rush)"", ""Does not cause wall splat if combo'd into from other moves or unblockable setups (Lock)"", 'Puts airborne opponents into a long spinning free juggle state when hit as a Punish Counter', 'Regular KDA without a Wall Splat: +35 KD', 'Corner wall splat on HIT: +65 KD | Block: +72 HKD', 'KDA can vary greatly depending on how high the opponent wall splats (higher KDA the higher they wall splat)', 'Can clash with other Drive Impacts if they collide on the same active frame (start at exactly the same time)', 'Costs 1 bar of Drive Gauge', 'The scrub killer']",drive,N,HPHK,37,,,Drive Impact,,,,,200,,
